id,data_p,tipo,categ,valor,descricao
a10976,2021-09-27,VN,Restaurante,23.75,Compra 27/09 10:32 ERICKA MARIA DE OLIV
a10977,2021-09-27,VN,Restaurante,32.9,Compra 26/09 12:49 CAPILE
a10978,2021-09-27,VN,Restaurante,23,Compra 26/09 14:08 SR BROWNIE/TURBO KI
a10979,2021-09-27,VE,Supermercado,54.55,Compra 25/09 09:32 KI GRANJA
a10981,2021-09-28,VE,Supermercado,45.52,Compra 28/09 11:16 SUPERMERCADO GONZAGA
a11001,2021-10-05,VN,Restaurante,105.1,NAF NAF RESTAURANTE CEARA-MIRIM BRA
a11002,2021-10-05,FN,Assinatura_App,39.9,NETFLIX SAO PAULO BRA
a11003,2021-10-05,FE,Tarifa bancaria,24.25,ANUIDADE DIFERENCIADA TIT-PARC 07/12 BR
a11004,2021-10-05,VN,Compra extra,25,LOJAS AMERICA PARC 10/12 RECIFE BR
a11005,2021-10-05,VN,Compra extra,74.72,Amazon-Market PARC 04/04 SAO PAULO BR
a11006,2021-10-05,VN,Compra extra,68.45,LOJAS 2001 PARC 01/02 CARPINA BR
a11007,2021-10-05,VN,Compra extra,47.95,LOJAS 2001 PARC 01/02 CARPINA BR
a11008,2021-10-05,VE,Veiculares,296.53,AzulAUTO * PARC 03/04 RIO DE JANEIBR
a11009,2021-10-05,VN,Compra extra,50.74,LOJAS AMERICA PARC 11/12 RECIFE BR
a11015,2021-10-01,FE,Condominio,400,Pagto CONDOMINIO DO VALE JACARANDA
a11017,2021-10-04,VN,Entretenimento,15,Compra 03/10 16:23 PAG*SorvetesDe
a11018,2021-10-04,FE,Condominio,150,Pagto CONDOMINIO DO VALE JACARANDA
a11019,2021-10-04,FE,Condominio,149.66,Impostos PREFEITURA DA CIDADE DO R
a11020,2021-10-04,FE,Convenio,45.8,Pagto ROSA MASTER LTDA
a11021,2021-10-04,VE,Energia_agua,229.67,Pagamento conta luz CELPE
a11022,2021-10-04,FE,Telefone movel,65.96,Pagto conta telefone VIVO PE
a11023,2021-10-04,FE,Telefone movel,80.97,Pagto conta telefone VIVO PE
a11024,2021-10-04,FE,Internet fixa,112.59,Pagto conta telefone VIVO FIXO/BRASIL
a11025,2021-10-04,FE,Internet fixa,79.9,Pagto EDUARDO DE CASTRO LIRA NETO EIRELI ME
a11026,2021-10-05,VE,Supermercado,63.8,Compra 05/10 12:14 LEGA COMER DE ALIMEN
a11027,2021-10-05,VE,Estacionamento,9.5,Compra 05/10 13:26 TACARUNA PARKING
a11028,2021-10-05,FE,Tarifa bancaria,60,Tarifa Pacote de Serviços Cobrança
a11029,2021-10-06,VN,Restaurante,55.3,Compra 06/10 12:26 MARIA DE FATIMA C C
a11031,2021-10-07,VE,Supermercado,103.34,Compra 07/10 10:39 SUPERMERCADO GONZAGA
a11033,2021-10-11,VE,Supermercado,240,Compra 11/10 09:41 CARPINA NOVO ATACAR
a11034,2021-10-11,FE,Convenio,452.96,Pagto GEAP AUTOGESTAO EM SAUDE
a11035,2021-10-13,VE,Farmacia,122.28,Compra 13/10 09:49 3162DROGASIL
a11036,2021-10-13,VE,Supermercado,212.7,Compra 13/10 10:36 CORDEIRAO SUPERMERCA
a11037,2021-10-13,VE,Gasolina,150.02,Compra 13/10 11:02 ALBUQUERQUE PNEUS LT
a11038,2021-10-13,VE,Outros pagtos,500,Transferência enviada - VERONICA S QUE
a11039,2021-10-14,VN,Entretenimento,24.6,Compra 14/10 16:30 PAO DE ACUCAR 1294 R
a11040,2021-10-14,VE,Padaria,47.7,Compra 14/10 09:09 ROSARINHO DELICATESS
a11041,2021-10-14,VE,Extra-convenio,300,Compra 14/10 13:45 CLINICA DE OLHOS
a11042,2021-10-19,VE,Farmacia,24.99,Compra 19/10 08:35 FARMA FACIL
a11043,2021-10-19,VE,Supermercado,47.35,Compra 19/10 08:48 SUPERMERCADO GONZAGA
a11044,2021-10-19,VE,Gasolina,150,Compra 19/10 09:43 ALBUQUERQUE PNEUS LT
a11045,2021-10-19,VN,Saques,300,Saque no TAA 19/10 09:13 SAA-CARPINA
a11047,2021-10-21,VE,Supermercado,73.78,Compra 21/10 13:25 CGN ALIMENTOS
a11048,2021-10-21,VN,Compra extra,10,Compra 21/10 14:44 CENTRAL DAS PILHAS
a11049,2021-10-21,VN,Compra extra,10.94,Compra 21/10 15:09 BOMPRECO
a11050,2021-10-21,VN,Restaurante,30.69,Compra 21/10 15:38 PAG*EduardoBaltar
a11051,2021-10-21,VE,Estacionamento,9.5,Compra 21/10 15:43 TACARUNA PARKING
a11052,2021-10-21,VE,Padaria,68.81,Compra 21/10 19:31 ROSARINHO DELICATESS
a11053,2021-10-22,VN,Restaurante,65.7,Compra 22/10 12:18 CAPRINO'S
a11054,2021-10-25,VN,Restaurante,42.3,Compra 24/10 12:07 MARIA DE FATIMA C C
a11055,2021-10-25,VN,Compra extra,19.27,Compra 24/10 13:41 LOJAS AMERICANAS 137
a11056,2021-10-25,VN,Compra extra,48.4,Compra 23/10 10:56 CARMEL
a11057,2021-10-25,VE,Gasolina,100,Compra 25/10 14:59 ALBUQUERQUE PNEUS LT
a11058,2021-10-26,VE,Farmacia,70.08,Compra 26/10 09:55 EXTRAFARMA ROSA E SI
a11059,2021-10-26,VN,Restaurante,71,Compra 26/10 11:53 BV ALIMENTOS
a11060,2021-10-26,VE,Estacionamento,9.5,Compra 26/10 13:23 MOBILIDADE RECIFE PA
a11061,2021-10-28,VN,Restaurante,85.42,Compra 28/10 10:20 SUPERMERCADO GONZAGA
a11062,2021-10-28,VN,Saques,150,Saque no TAA 28/10 09:31 SAA-CARPINA
a11101,2021-11-05,FN,Assinatura_App,39.9,NETFLIX SAO PAULO BRA
a11102,2021-11-05,FE,Tarifa bancaria,24.25,ANUIDADE DIFERENCIADA TIT-PARC 08/12 BR
a11103,2021-11-05,FN,Assinatura_App,20.9,DL *GOOGLE YouTube SAO PAULO BRA
a11104,2021-11-05,FE,Investimento,39.8,NAGEM INFORMA PARC 02/05 RECIFE BR
a11105,2021-11-05,VN,Compra extra,130.47,LOJAO DO PETR PARC 02/02 RECIFE BR
a11106,2021-11-05,FE,Investimento,49.8,NAGEM INFORMA PARC 02/05 RECIFE BR
a11107,2021-11-05,VN,Compra extra,25,LOJAS AMERICA PARC 11/12 RECIFE BR
a11108,2021-11-05,VN,Compra extra,68.45,LOJAS 2001 PARC 02/02 CARPINA BR
a11109,2021-11-05,VN,Compra extra,47.95,LOJAS 2001 PARC 02/02 CARPINA BR
a11110,2021-11-05,VE,Veiculares,296.53,AzulAUTO * PARC 04/04 RIO DE JANEIBR
a11111,2021-11-05,VN,Compra extra,50.74,LOJAS AMERICA PARC 12/12 RECIFE BR
a11112,2021-11-05,VE,Farmacia,174.49,3162DROGASIL PARC 01/02 CARPINA BR
a11113,2021-11-05,VE,Extra-convenio,175,ODONTO VIDA PARC 01/02 RECIFE BR
a11115,2021-11-01,VE,Padaria,47.24,Compra 30/10 12:08 ROSARINHO DELICATESS
a11116,2021-11-01,VE,Gasolina,150,Compra 30/10 16:56 NVC COMERCIO DE COMB
a11117,2021-11-01,FE,Condominio,400,Pagto CONDOMINIO DO VALE JACARANDA
a11119,2021-11-03,VE,Padaria,30.64,Compra 02/11 06:35 C JARDIM DELICATESSE
a11120,2021-11-03,VN,Restaurante,104.42,Compra 02/11 13:07 SKILLUS STEAK HOUSE
a11121,2021-11-03,VE,Estacionamento,9.5,Compra 02/11 15:00 RECIFE PARKING
a11122,2021-11-03,VE,Padaria,26,Compra 03/11 16:58 ROSARINHO DELICATESS
a11124,2021-11-03,FE,Condominio,149.66,Impostos PREFEITURA DA CIDADE DO R
a11125,2021-11-03,FE,Condominio,150,Pagto CONDOMINIO DO VALE JACARANDA
a11126,2021-11-03,FE,Convenio,49.8,Pagto ROSA MASTER LTDA
a11127,2021-11-03,VE,Energia_agua,274.37,Pagamento conta luz CELPE
a11128,2021-11-03,FE,Internet fixa,79.9,Pagto EDUARDO DE CASTRO LIRA NETO EIRELI ME
a11129,2021-11-03,FE,Telefone movel,65.99,Pagto conta telefone VIVO PE
a11130,2021-11-03,FE,Telefone movel,80.99,Pagto conta telefone VIVO PE
a11131,2021-11-03,FE,Internet fixa,114.99,Pagto conta telefone VIVO FIXO/BRASIL
a11132,2021-11-04,VE,Supermercado,57.32,Compra 04/11 11:16 SUPERMERCADO GONZAGA
a11133,2021-11-04,VE,Supermercado,20,Compra 04/11 11:19 SUPERMERCADO GONZAGA
a11135,2021-11-05,FE,Tarifa bancaria,60,Tarifa Pacote de Serviços Cobrança
a11136,2021-11-08,VE,Gasolina,100,Compra 07/11 12:21 ALBUQUERQUE PNEUS LT
a11137,2021-11-08,VE,Farmacia,28.98,Compra 07/11 12:39 F M DE MIRANDA CONSU
a11138,2021-11-08,VN,Restaurante,40,Compra 07/11 14:50 BROWNIE/TURBO KI
a11139,2021-11-08,VE,Supermercado,188.4,Compra 06/11 09:08 CORDEIRAO SUPERMERCA
a11141,2021-11-09,VE,Supermercado,138.35,Compra 09/11 09:55 SUPERMERCADO GONZAGA
a11142,2021-11-09,VE,Supermercado,47,Compra 09/11 14:00 JULIANA DA SILVA PER
a11143,2021-11-10,VN,Compra extra,130,Compra 10/11 13:42 CHAKRIAN E DANTAS BA
a11144,2021-11-10,FE,Convenio,452.96,Pagto GEAP AUTOGESTAO EM SAUDE
a11145,2021-11-11,VN,Restaurante,50,Compra 11/11 08:07 PAG*Shanaicypatricia
a11146,2021-11-11,VE,Gasolina,150,Compra 11/11 09:50 NVC COMERCIO DE COMB
a11147,2021-11-12,VN,Compra extra,22,Compra 12/11 14:25 PAG*Lupo
a11148,2021-11-12,VN,Compra extra,12.99,Compra 12/11 16:07 LE BISCUIT
a11149,2021-11-12,VE,Estacionamento,9.5,Compra 12/11 16:23 TACARUNA PARKING
a11150,2021-11-12,VE,Farmacia,28.45,Compra 12/11 10:15 FARMACIA PAGUE MENOS
a11151,2021-11-12,VN,Compra extra,19.4,Compra 12/11 10:31 KALUNGA SHOPPING TAC
a11152,2021-11-12,VN,Restaurante,33.8,Compra 12/11 11:59 LEGA COMER DE ALIMEN
a11153,2021-11-16,VE,Farmacia,24.99,Compra 13/11 10:01 FARMA FACIL
a11154,2021-11-16,VN,Restaurante,85.94,Compra 15/11 12:05 SABOR TROPICAL
a11155,2021-11-16,VN,Compra extra,169.9,Compra 15/11 12:50 VVTC FILIAL 78
a11156,2021-11-16,VN,Restaurante,30.69,Compra 15/11 13:42 PAG*EduardoBaltar
a11157,2021-11-16,VE,Estacionamento,9.5,Compra 15/11 14:13 TACARUNA PARKING
a11158,2021-11-16,VE,Gasolina,100,Compra 15/11 16:48 PETROCAL ROSARINHO
a11159,2021-11-16,VE,Padaria,14.3,Compra 15/11 16:55 ROSARINHO DELICATESS
a11160,2021-11-17,VE,Padaria,14.9,Compra 17/11 07:37 ROSARINHO DELICATESS
a11161,2021-11-18,VE,Supermercado,340.41,Compra 18/11 10:27 CARPINA NOVO ATACAR
a11162,2021-11-18,VE,Gasolina,100.05,Compra 18/11 10:57 ALBUQUERQUE PNEUS LT
a11163,2021-11-22,VN,Saques,70,Saque no TAA 20/11 10:47 SAA-CARPINA
a11164,2021-11-23,VE,Estacionamento,9.5,Compra 23/11 13:31 TACARUNA PARKING
a11165,2021-11-24,VE,Estacionamento,9.9,Pagto PAGSEGURO INTERNET S A
a11166,2021-11-29,VN,Compra extra,23.09,Compra 27/11 08:18 CARMEL
a11167,2021-11-29,VE,Farmacia,42.96,Compra 27/11 08:34 FARMACIA PERMANENTE
a11168,2021-11-29,VE,Gasolina,50,Compra 27/11 08:45 POSTO BOM JESUS
a11169,2021-11-29,VE,Supermercado,56.32,Compra 29/11 09:29 PAO DE ACUCAR 1294 R
